document_id,field_path,baseline_failure_class,recovered_by_spans,recovered_by_ocr,recovered_by_cells,recovered_by_union
short/real_clinton_property_25_11073_corrupted,creditors[4].creditor_name,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073_corrupted,creditors[4].mailing_address[0],ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073_corrupted,creditors[4].mailing_address[1],ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073_corrupted,creditors[4].unliquidated,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[4].subject_to_offset,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[5].part,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[5].mailing_address[1],ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073_corrupted,creditors[5].disputed,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[5].subject_to_offset,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[6].part,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[6].disputed,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[7].part,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[7].unliquidated,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[7].subject_to_offset,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073_corrupted,creditors[8].number,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[8].part,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[8].creditor_name,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073_corrupted,creditors[8].mailing_address[0],ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073_corrupted,creditors[8].mailing_address[1],ASSOCIATION_RANK_MISS,False,False,False,True
